Candidate_Index,Shortest_Side,Shortest_Color,Main_Route_Length,Alt_Route_Length
1,Right,blue,1518.8347032479069,1552.9768388716363
2,Left,red,1425.5331880577405,1434.1290757631346
3,Right,blue,1547.5626253092646,1581.704760932994
4,Left,red,1291.36666581637,1297.8935777509507
5,Left,red,1517.4793641885785,1529.6631303726529
6,Right,blue,1502.6631303726529,1513.8347032479057
7,Right,blue,1177.964645562816,1183.5554826343268
8,Left,red,1358.53318805774,1368.1168824543147
9,Right,blue,1279.6509370638316,1286.7220048756974
10,Right,blue,1488.3788591251912,1496.6387437550125
11,Right,blue,1485.3788591251912,1496.3666658163702
12,Left,red,999.2346314604056,1007.9869401394033
13,Left,red,1489.3961030678931,1499.6214998123103
14,Left,red,1439.8468965567254,1448.4427842621194
15,Right,blue,1109.7148622007605,1116.1585130146566
16,Right,blue,1030.6437943888952,1036.134126397017
17,Right,blue,1375.4377336282366,1385.98188950552
18,Right,blue,1034.3666658163702,1039.3717164502532
19,Left,red,1035.371716450253,1041.271211386865
20,Right,blue,1378.094587877729,1384.7392488184007
21,Left,red,1044.6904755831213,1050.548339959391
22,Right,blue,1093.4844148224613,1100.9402589451768
23,Left,red,1316.508801440101,1325.0357133746818
24,Right,blue,1055.3767670841366,1063.0336213336293
25,Left,red,1199.4966081312807,1205.8569978244914
26,Left,red,1033.3717164502532,1040.3666658163702
27,Right,blue,1418.4722215136421,1439.190042307233
28,Right,blue,1090.5361466505708,1105.212336883819
29,Right,blue,1324.7270555095806,1332.491557497398
30,Left,red,1384.261110119098,1393.8448045156726
31,Left,red,870.9797974644665,877.7909806465098
32,Left,red,1121.5260453828037,1131.2834046956846
33,Left,red,807.7077195258242,813.9919907732859
34,Right,blue,1542.3199846221455,1550.5798692519668
35,Left,red,1031.040764008565,1037.058007951268
36,Right,blue,1198.4427842621183,1206.9108216936538
37,Left,red,1376.567675943147,1384.85194719061
38,Left,red,1319.4204896855322,1330.7859300126265
39,Left,red,1132.6437943888952,1147.898628384834
40,Right,blue,1016.2346314604057,1023.891485709898
41,Right,blue,1174.1757569573601,1179.57272657703
42,Left,red,1284.9524522539969,1304.3077913133238
43,Left,red,1500.567675943147,1521.0945878777293
44,Right,blue,1166.8397538817885,1179.1240251292504
45,Left,red,1075.9524522539978,1083.7442994522842
46,Left,red,907.7615433949869,913.1757569573599
47,Right,blue,1466.9057710597722,1485.4671708797587
48,Left,red,1484.0357133746822,1510.077343935026
49,Right,blue,1386.6681810065363,1407.3961030678931
50,Right,blue,1273.2367235014585,1293.1362184380705
51,Right,blue,1278.3717164502532,1288.2783540618013
52,Left,red,1570.579869251966,1580.4204896855338
53,Right,blue,903.9625535217633,912.1808075912434
54,Left,red,847.5067093990475,856.0336213336285
